schedule,object,fg_ssim,psnr,lap_var,rgb_std,grad_mag,gt_lap_var,gt_rgb_std,gt_grad_mag
cosine_bump,obj_0061,0.170087,14.6734,0.011887,0.178711,0.381592,0.031656,0.030186,0.511035
cosine_bump,obj_0062,0.229541,16.0275,0.005211,0.151733,0.233765,0.063954,0.146052,0.578097
cosine_bump,obj_0063,0.289877,12.2243,0.004265,0.161743,0.213379,0.017309,0.037154,0.313621
cosine_bump,obj_0064,0.419615,16.3688,0.003771,0.188354,0.220215,0.012484,0.184111,0.237518
cosine_bump,obj_0065,0.321239,20.0798,0.003494,0.176392,0.227417,0.018760,0.050869,0.397958
cosine_bump,obj_0066,0.495649,18.9136,0.005653,0.219116,0.244995,0.001163,0.001458,0.061010
cosine_bump,obj_0067,0.299642,16.9392,0.011597,0.183716,0.382324,0.009615,0.062524,0.344068
cosine_bump,obj_0068,0.489957,20.9304,0.003620,0.200439,0.216309,0.004931,0.001486,0.140852
cosine_bump,obj_0069,0.091005,14.6879,0.008736,0.204346,0.341064,0.070115,0.057225,0.694903
cosine_bump,obj_0070,0.479288,18.8080,0.005192,0.224976,0.222412,0.004139,0.028851,0.150958
cosine_bump,obj_0071,0.104884,20.2795,0.002874,0.111084,0.187622,0.062063,0.018332,1.086789
cosine_bump,obj_0072,0.317654,13.2668,0.024445,0.203735,0.404053,0.002865,0.099724,0.112215
cosine_bump,obj_0073,0.029311,11.4260,0.052795,0.258789,0.439941,0.010302,0.002147,0.080284
cosine_bump,obj_0074,0.326948,13.1237,0.004250,0.155273,0.246704,0.019268,0.064367,0.314965
cosine_bump,obj_0075,0.055144,12.0213,0.009460,0.182129,0.299561,0.077657,0.003347,0.765311
cosine_bump,obj_0076,0.178398,14.9658,0.004501,0.156494,0.284424,0.031893,0.013491,0.553979
cosine_bump,obj_0077,0.238410,11.3276,0.015808,0.187866,0.411621,0.008620,0.050093,0.245375
cosine_bump,obj_0078,0.478630,31.1240,0.001300,0.120483,0.136719,0.004251,0.001344,0.216545
cosine_bump,obj_0079,0.129719,12.4809,0.031616,0.216675,0.496094,0.012288,0.040025,0.226944
cosine_bump,obj_0080,0.167847,14.6910,0.003395,0.162109,0.227905,0.028549,0.025458,0.478131
cosine_bump,obj_0081,0.208469,14.7471,0.002045,0.169189,0.161987,0.023731,0.005986,0.371657
cosine_bump,obj_0082,0.534888,29.4976,0.002159,0.125244,0.159424,0.003320,0.001381,0.157163
