participant,object,criterion,choice
NUM05,OBJ05,overall,C3
NUM05,OBJ06,overall,s2.50
NUM05,OBJ07,overall,C3
NUM05,OBJ08,overall,C3
NUM05,OBJ09,overall,C3
NUM05,OBJ10,overall,C3
NUM05,OBJ11,overall,C3
NUM05,OBJ12,overall,C3
NUM05,OBJ13,overall,C3
NUM05,OBJ14,overall,s1.25
NUM05,OBJ15,overall,C3
NUM05,OBJ16,overall,C3
NUM05,OBJ17,overall,s2.50
NUM05,OBJ18,overall,C3
NUM05,OBJ19,overall,s2.50
NUM05,OBJ20,overall,C3
NUM05,OBJ21,overall,C3
NUM05,OBJ22,overall,C3
NUM05,OBJ23,overall,s1.25
NUM05,OBJ24,overall,C3
NUM05,OBJ25,overall,C3
NUM05,OBJ26,overall,C3
NUM05,OBJ27,overall,C3
NUM05,OBJ28,overall,C3
NUM05,OBJ29,overall,s2.50
NUM05,OBJ30,overall,C3
NUM06,OBJ01,texture,s1.25
NUM06,OBJ02,texture,s1.25
NUM06,OBJ03,texture,s1.25
NUM06,OBJ04,texture,C3
NUM06,OBJ05,texture,s1.25
NUM06,OBJ06,texture,s1.25
NUM06,OBJ07,texture,s1.25
NUM06,OBJ08,texture,s1.25
NUM06,OBJ09,texture,C3
NUM06,OBJ10,texture,s1.25
NUM06,OBJ11,texture,s1.25
NUM06,OBJ12,texture,s2.50
NUM06,OBJ13,texture,s2.50
NUM06,OBJ14,texture,s1.25
NUM06,OBJ15,texture,C3
NUM06,OBJ16,texture,s1.25
NUM06,OBJ17,texture,s1.25
NUM06,OBJ18,texture,s2.50
NUM06,OBJ19,texture,s1.25
NUM06,OBJ20,texture,s1.25
NUM06,OBJ21,texture,s1.25
NUM06,OBJ22,texture,s1.25
NUM06,OBJ23,texture,s1.25
NUM06,OBJ24,texture,s1.25
NUM06,OBJ25,texture,s1.25
NUM06,OBJ26,texture,s1.25
NUM06,OBJ27,texture,s1.25
NUM06,OBJ28,texture,C3
NUM06,OBJ29,texture,s1.25
NUM06,OBJ30,texture,s2.50
NUM06,OBJ01,shape,C3
NUM06,OBJ02,shape,s2.50
NUM06,OBJ03,shape,C3
NUM06,OBJ04,shape,s2.50
NUM06,OBJ05,shape,C3
NUM06,OBJ06,shape,s2.50
NUM06,OBJ07,shape,C3
